Company Name,Stock Symbol,Sector,Subsector,Listing Date,,,,
Asia United Bank Corporation,AUB,Financials,Banks,17 May 2013,,,,
Asiabest Group International Inc.,ABG,Industrial,"Construction, Infra. & Allied Services",10 July 1979,,,,
"Asian Terminals, Inc.",ATI,Services,Transportation Services,25 January 1996,,,,
Atlas Consolidated Mining and Development Corporation,AT,Mining and Oil,Mining,17 November 1970,,,,
"Atok-Big Wedge Co., Inc.",AB,Mining and Oil,Mining,8 January 1948,,,,
Ayala Corporation,AC,Holding Firms,Holding Firms,8 November 1976,,,,
"Ayala Land, Inc.",ALI,Property,Property,5 July 1991,,,,
"BDO Leasing and Finance, Inc.",BLFI,Financials,Other Financial Institutions,6 January 1997,,,,
"BDO Unibank, Inc.",BDO,Financials,Banks,21 May 2002,,,,
"BHI Holdings, Inc.",BH,Holding Firms,Holding Firms,2 April 1973,,,,
Bank of the Philippine Islands,BPI,Financials,Banks,12 October 1971,,,,
Basic Energy Corporation,BSC,Mining and Oil,Oil,16 October 1973,,,,
Belle Corporation,BEL,Property,Property,2 February 1977,,,,
Benguet Corporation,BC,Mining and Oil,Mining,4 January 1950,,,,
Berjaya Philippines Inc.,BCOR,Services,Casinos & Gaming,29 November 1948,,,,
Bloomberry Resorts Corporation,BLOOM,Services,Casinos & Gaming,17 October 2000,,,,
"Bogo Medellin Milling Company, Inc.",BMM,Industrial,"Food, Beverage & Tobacco",28 Sep 1950,,,,
"Boulevard Holdings, Inc.",BHI,Services,Hotel & Leisure,28 April 1997,,,,
Bright Kindle Resources & Investments Inc.,BKR,Financials,Other Financial Institutions,21 March 1995,,,,
"COL Financial Group, Inc.",COL,Financials,Other Financial Institutions,12 July 2006,,,,
Calata Corporation,CAL,Services,Retail,23 May 2012,,,,
"Cebu Air, Inc.",CEB,Services,Transportation Services,26 October 2010,,,,
"Cebu Holdings, Incorporated",CHI,Property,Property,14 February 1994,,,,
Cebu Property Ventures and Development Corporation,CPV,Property,Property,3 March 1992,,,,
